,label,path
0,no_logo,test_task_logo_dataset/0a0b9e2d-d9f0-4876-9548-5e5f1dc621f2.jpg
1,logo,test_task_logo_dataset/0a0d03e6-c8f2-4b73-9436-95d03cbbc102.jpg
2,no_logo,test_task_logo_dataset/0a1ac714-a4a0-4a05-87b7-c4c464121dd6.jpg
3,no_logo,test_task_logo_dataset/00a1ec49-d8c7-47f7-ba22-3b95ada061cf.jpg
4,no_logo,test_task_logo_dataset/0a2e7c5b-5e0d-45bd-a090-20459774ac56.jpg
5,logo,test_task_logo_dataset/0a00c9fd-1857-44f4-9ad0-eb788c1cd959.jpg
6,logo,test_task_logo_dataset/0a0d4698-d933-4ea3-bdab-53030ccab5f6.jpg
7,logo,test_task_logo_dataset/0a1dd05c-08ba-4be2-a046-ef60cb735bf1.jpg
8,logo,test_task_logo_dataset/0a2b7219-e18e-4c3f-a03c-ca2d22116f01.jpg
9,no_logo,test_task_logo_dataset/0a03a98b-d726-49ad-9da3-f420fd63e385.jpg
10,no_logo,test_task_logo_dataset/0a0cbe8c-3325-4289-a157-13a32ad98f8c.jpg
11,logo,test_task_logo_dataset/0a1a1d12-5316-4c44-a4e8-3c3a9e9e4492.jpg
12,no_logo,test_task_logo_dataset/0a1e8645-9877-427a-9fca-f8d405b77cd3.jpg
13,logo,test_task_logo_dataset/0a2dde99-0a6b-42a4-a4e8-17ce163061fe.jpg
14,no_logo,test_task_logo_dataset/c33348d5-06a3-437f-8885-37cbd80aebcd.jpg
15,no_logo,test_task_logo_dataset/01051f10-a9f6-4dd0-b692-d557ba122500.jpg
16,no_logo,test_task_logo_dataset/4c7e21e9-32a4-4a3c-92fe-2c5e8117d730.jpg
17,no_logo,test_task_logo_dataset/cc08a94a-bad5-406b-9da6-bf1e9b6c649b.jpg
18,no_logo,test_task_logo_dataset/4920bd9d-07e1-437e-871b-3b77be92414e.jpg
19,no_logo,test_task_logo_dataset/5a912953-f2c0-4e28-b149-98d6d11bf2a9.jpg
20,no_logo,test_task_logo_dataset/cf0ea6ab-9db4-4a35-9e2e-492d92edec5c.jpg
21,no_logo,test_task_logo_dataset/7271fa51-0677-48cc-8f93-b38d0d24ed34.jpg
22,logo,test_task_logo_dataset/5e969fe2-e65d-4b4c-8f8e-854855448381.jpg
23,logo,test_task_logo_dataset/d7c6603f-810f-4c58-9ef5-9c824724bdbc.jpg
24,no_logo,test_task_logo_dataset/9677db1d-3545-452b-aa1b-65040952e9d2.jpg
25,logo,test_task_logo_dataset/6b28ee6b-7c87-420c-839e-bf6ea63d75a5.jpg
26,no_logo,test_task_logo_dataset/d545c035-5700-4e58-b8e2-9fe65a45b7cc.jpg
27,logo,test_task_logo_dataset/51559af7-b8b3-4da2-a68c-0bb3f85d5883.jpg
28,no_logo,test_task_logo_dataset/6f5142be-e4b0-42f6-a543-0a4a7bedb8b2.jpg
29,no_logo,test_task_logo_dataset/da735e60-2502-4c30-b38f-90b85962401d.jpg
30,no_logo,test_task_logo_dataset/97034d4e-ad13-4f21-8632-2b5e376ae7c2.jpg
31,logo,test_task_logo_dataset/7d808453-1dcc-4eb7-aa24-e856ede29032.jpg
32,no_logo,test_task_logo_dataset/ddf505d2-2c3e-40ec-9a37-537017255944.jpg
33,logo,test_task_logo_dataset/666242ad-f2ef-49d6-bdc3-85c14b1ac09e.jpg
34,no_logo,test_task_logo_dataset/8b12357d-e3a6-4077-a329-341e48544c1b.jpg
35,logo,test_task_logo_dataset/e2f3431a-3710-4298-9177-b2d97efc1aa8.jpg
36,no_logo,test_task_logo_dataset/4235556e-984c-4e5d-b24d-4e8dec0534e0.jpg
37,logo,test_task_logo_dataset/8f2bbd25-3cdf-4a98-9871-f900efb11732.jpg
38,logo,test_task_logo_dataset/e35fa470-246b-49f1-828f-3311fd5e05c7.jpg
39,no_logo,test_task_logo_dataset/24515961-b400-4c1b-80de-5e4cc6514af8.jpg
40,no_logo,test_task_logo_dataset/9d1d8528-a12a-4be7-af52-b6d65ce561b8.jpg
41,no_logo,test_task_logo_dataset/e476732c-3080-4ca0-a229-eb83408ef110.jpg
42,logo,test_task_logo_dataset/92110334-8701-4fe8-835c-12886a96c3f9.jpg
43,logo,test_task_logo_dataset/11cb4f2c-bfe2-432c-a0c5-0fe5395e6fa5.jpg
44,no_logo,test_task_logo_dataset/ec39caf5-8bc7-4765-b214-e9830bb41f6e.jpg
45,no_logo,test_task_logo_dataset/a7deed83-5926-402c-bfcc-c741129e4120.jpg
46,no_logo,test_task_logo_dataset/22b508c1-638e-4126-b4f7-d7237af11838.jpg
47,logo,test_task_logo_dataset/f2a1aa6e-bd3e-4652-86b0-4a755e8f6e2f.jpg
48,logo,test_task_logo_dataset/a609c6a1-49b9-4dc7-b29f-eec105c2fa9d.jpg
49,no_logo,test_task_logo_dataset/34b6b53d-69c1-476a-8b39-df1a758ef52b.jpg
50,logo,test_task_logo_dataset/f45a34fb-9087-4d52-b1c0-3a402e6f79b4.jpg
51,logo,test_task_logo_dataset/aba4f7aa-7379-4dcb-80be-1cd172171a1c.jpg
52,no_logo,test_task_logo_dataset/42d9e2c1-1fdc-48dc-9034-70da569f3076.jpg
53,logo,test_task_logo_dataset/f9422ceb-4ae0-4e0a-a739-09044681988a.jpg
54,no_logo,test_task_logo_dataset/b0ca88d9-bd14-491a-bf34-bfaccc1ea738.jpg
55,logo,test_task_logo_dataset/52d9bf91-60e8-4606-a8f0-1189182e5ccd.jpg
56,logo,test_task_logo_dataset/fc9216e9-c3eb-45e8-8f94-26d8ad15c5d1.jpg
57,no_logo,test_task_logo_dataset/b23ee794-fb05-4596-b5da-5aadcf1456d4.jpg
58,no_logo,test_task_logo_dataset/63ba1f9d-db2d-470d-ae9e-ceb069eb93ce.jpg
59,no_logo,test_task_logo_dataset/b6057479-27e4-4ef6-86eb-17ba07128b79.jpg
60,logo,test_task_logo_dataset/72fb3f58-4cb7-4ca8-9789-37902d00dfbc.jpg
61,no_logo,test_task_logo_dataset/85cb3509-402e-43a2-ae2e-a4ae894a06ba.jpg
62,no_logo,test_task_logo_dataset/96d85dc1-03a8-4dac-a244-c86f336d2d3d.jpg
63,no_logo,test_task_logo_dataset/0c6f4990-c0c4-4285-a4b3-7b6e3e932836.jpg
64,logo,test_task_logo_dataset/191ee727-e22a-433b-9108-fb02dcb252af.jpg
65,logo,test_task_logo_dataset/1b8e12ad-b699-41e4-81d5-a296cd903c5c.jpg
66,no_logo,test_task_logo_dataset/346f8594-605d-45e9-b2bb-5a200596d4d5.jpg
67,logo,test_task_logo_dataset/1dc9e421-ecf7-41e1-9049-d40336bae2d0.jpg
68,no_logo,test_task_logo_dataset/557ad696-9163-450b-95c9-3a689661e3d8.jpg
69,logo,test_task_logo_dataset/2b644930-c1d5-4a02-b99e-2169a2024ec1.jpg
70,no_logo,test_task_logo_dataset/be7b6d79-d50c-42ca-9620-ccfb9bd974d0.jpg
71,no_logo,test_task_logo_dataset/729ea47f-6a30-462f-8540-b66f7749c8e0.jpg
72,no_logo,test_task_logo_dataset/2f9ffa1a-5690-4b1b-9886-5f36fdb7b3f2.jpg
73,no_logo,test_task_logo_dataset/c9a5211a-f636-4621-af52-e0af3499baad.jpg
